i,j,word1,word2,clue
1,3,want,thing,desirable
1,3,want,thing,earn
1,4,want,tell,saying
1,7,want,right,conservative
1,12,want,still,yen
1,17,want,school,requirement
1,19,want,talk,speaks
1,19,want,talk,spoke
1,27,want,house,freedom
1,30,want,might,collectible
1,30,want,might,prefer
1,33,want,problem,complicated
1,40,want,few,simple
1,40,want,few,drinking
1,40,want,few,drinks
1,41,want,group,supply
1,42,want,run,afraid
1,44,want,case,disorders
1,45,want,night,urge
2,3,look,thing,visual
2,5,look,man,joe
2,5,look,man,ou
2,5,look,man,hey
2,6,look,life,perspective
2,6,look,life,cheers
2,6,look,life,are
2,7,look,right,dare
2,7,look,right,identification
2,17,look,school,consider
2,19,look,talk,discussed
2,20,look,keep,regard
2,20,look,keep,regards
2,23,look,help,advertising
2,25,look,high,arch
2,28,look,show,becomes
2,30,look,might,saw
2,32,look,place,cruise
2,33,look,problem,assessment
2,34,look,country,lee
2,36,look,point,acknowledge
2,37,look,hand,attended
2,37,look,hand,attending
2,38,look,play,appearing
2,44,look,case,concentrate
2,46,look,game,graphics
2,46,look,game,interface
2,48,look,money,assess
2,50,look,book,binding
3,4,thing,tell,description
3,5,thing,man,affair
3,5,thing,man,odd
3,6,thing,life,survival
3,7,thing,right,correctly
3,7,thing,right,successfully
3,8,thing,down,destroy
3,8,thing,down,slide
3,9,thing,try,effort
3,9,thing,try,trial
3,10,thing,call,label
3,10,thing,call,designation
3,11,thing,woman,female
3,12,thing,still,impact
3,13,thing,mean,offensive
3,14,thing,world,global
3,14,thing,world,international
3,14,thing,world,creator
3,15,thing,feel,impression
3,15,thing,feel,suffer
3,15,thing,feel,suffering
3,15,thing,feel,suffered
3,16,thing,child,terror
3,17,thing,school,doctrine
3,17,thing,school,academics
3,18,thing,state,into
3,18,thing,state,entity
3,20,thing,keep,storage
3,20,thing,keep,retention
3,20,thing,keep,preservation
3,20,thing,keep,holding
3,25,thing,high,icon
3,25,thing,high,mad
3,25,thing,high,tower
3,25,thing,high,listed
3,26,thing,family,classification
3,26,thing,family,legacy
3,28,thing,show,acid
3,30,thing,might,likelihood
3,31,thing,part,core
3,31,thing,part,cream
3,34,thing,country,native
3,36,thing,point,difference
3,38,thing,play,recreation
3,38,thing,play,entertainment
3,42,thing,run,operation
3,42,thing,run,system
3,42,thing,run,activity
3,42,thing,run,arrested
3,44,thing,case,portfolio
3,44,thing,case,accident
3,46,thing,game,alignment
3,47,thing,number,selection
3,47,thing,number,complement
3,48,thing,money,wealth
3,48,thing,money,lending
3,48,thing,money,tender
3,48,thing,money,donation
3,48,thing,money,price
3,49,thing,lot,tract
4,5,tell,man,what
4,14,tell,world,declare
4,14,tell,world,bulletin
4,18,tell,state,said
4,18,tell,state,predict
4,18,tell,state,predicted
4,18,tell,state,declaration
4,21,tell,leave,message
4,21,tell,leave,memo
4,22,tell,put,possess
4,22,tell,put,chronicle
4,24,tell,start,hip
4,26,tell,family,rats
4,27,tell,house,you
4,29,tell,student,reporting
4,30,tell,might,suggest
4,30,tell,might,possibly
4,32,tell,place,rely
4,33,tell,problem,meet
4,34,tell,country,citizenship
4,34,tell,country,recognize
4,37,tell,hand,retail
4,38,tell,play,jokes
4,41,tell,group,discover
5,10,man,call,jesus
5,10,man,call,stroke
5,16,man,child,juvenile
5,18,man,state,rogers
5,25,man,high,lord
5,25,man,high,buck
5,30,man,might,gabriel
5,31,man,part,knee
5,33,man,problem,plus
5,37,man,hand,ira
5,37,man,hand,luke
5,37,man,hand,reno
5,37,man,hand,jill
5,38,man,play,albert
5,39,man,turn,trick
5,40,man,few,hardly
5,40,man,few,individual
5,41,man,group,prince
5,42,man,run,marathon
5,45,man,night,thomson
5,46,man,game,kong
5,48,man,money,won
5,50,man,book,editor
5,50,man,book,vacuum
5,50,man,book,signing
6,7,life,right,religion
6,7,life,right,happiness
6,8,life,down,settle
6,8,life,down,settled
6,9,life,try,enterprise
6,12,life,still,fruit
6,12,life,still,painting
6,13,life,mean,essence
6,13,life,mean,value
6,14,life,world,married
6,14,life,world,temporal
6,17,life,school,letters
6,19,life,talk,breath
6,21,life,leave,retirement
6,21,life,leave,empty
6,23,life,help,therapy
6,23,life,help,advice
6,26,life,family,privacy
6,31,life,part,segment
6,33,life,problem,concerning
6,33,life,problem,carefully
6,33,life,problem,struggle
6,37,life,hand,karma
6,37,life,hand,assured
6,39,life,turn,incidence
6,39,life,turn,develop
6,40,life,few,earlier
6,41,life,group,squad
6,43,life,guy,killer
6,44,life,case,civil
6,46,life,game,ali
6,50,life,book,memorabilia
7,8,right,down,complete
7,8,right,down,sheer
7,15,right,feel,gonna
7,15,right,feel,fitting
7,18,right,state,interference
7,20,right,keep,reserves
7,21,right,leave,steal
7,21,right,leave,faster
7,21,right,leave,soon
7,22,right,put,corrected
7,22,right,put,remedy
7,22,right,put,repair
7,25,right,high,accurate
7,29,right,student,grad
7,32,right,place,generate
7,34,right,country,align
7,34,right,country,asylum
7,38,right,play,honors
7,38,right,play,table
7,40,right,few,effectively
7,48,right,money,assets
7,50,right,book,passage
